model,condition,framing,tier,memory_consistent,mean_prompt_tokens,n
llama-3.1-8b-instant,full_plus_random,neutral,direct,1.0,497.3333333333333,9
llama-3.1-8b-instant,full_plus_random,neutral,paraphrase,1.0,509.5,6
llama-3.1-8b-instant,full_plus_random,neutral,partially_specified,1.0,499.0,3
llama-3.1-8b-instant,full_plus_random,neutral,staleness,0.2916666666666667,496.0,24
llama-3.1-8b-instant,full_plus_random,neutral,unanswerable,1.0,502.0,3
llama-3.1-8b-instant,no_memory,authoritative,ambiguous,0.0,117.0,3
llama-3.1-8b-instant,no_memory,authoritative,compose_fictional,0.0,133.0,3
llama-3.1-8b-instant,no_memory,authoritative,compose_override,0.0,122.33333333333333,9
llama-3.1-8b-instant,no_memory,authoritative,direct,0.0,120.33333333333333,9
llama-3.1-8b-instant,no_memory,authoritative,paraphrase,0.0,132.5,6
llama-3.1-8b-instant,no_memory,authoritative,partially_specified,1.0,122.0,3
llama-3.1-8b-instant,no_memory,authoritative,unanswerable,1.0,125.0,3
llama-3.1-8b-instant,no_memory,neutral,ambiguous,0.0,105.0,3
llama-3.1-8b-instant,no_memory,neutral,compose_fictional,0.0,121.0,3
llama-3.1-8b-instant,no_memory,neutral,compose_override,0.0,110.33333333333333,9
llama-3.1-8b-instant,no_memory,neutral,direct,0.0,108.33333333333333,9
llama-3.1-8b-instant,no_memory,neutral,paraphrase,0.0,120.5,6
llama-3.1-8b-instant,no_memory,neutral,partially_specified,1.0,110.0,3
llama-3.1-8b-instant,no_memory,neutral,unanswerable,1.0,113.0,3
llama-3.1-8b-instant,relevant_only,authoritative,ambiguous,0.3333333333333333,137.0,3
llama-3.1-8b-instant,relevant_only,authoritative,compose_fictional,0.6666666666666666,185.0,3
llama-3.1-8b-instant,relevant_only,authoritative,compose_override,1.0,156.66666666666666,9
llama-3.1-8b-instant,relevant_only,authoritative,direct,1.0,137.33333333333334,9
llama-3.1-8b-instant,relevant_only,authoritative,paraphrase,1.0,160.0,6
llama-3.1-8b-instant,relevant_only,authoritative,partially_specified,1.0,141.0,3
llama-3.1-8b-instant,relevant_only,authoritative,staleness,0.25,155.25,24
llama-3.1-8b-instant,relevant_only,authoritative,unanswerable,0.6666666666666666,159.0,3
llama-3.1-8b-instant,relevant_only,neutral,ambiguous,0.3333333333333333,125.0,3
llama-3.1-8b-instant,relevant_only,neutral,compose_fictional,1.0,173.0,3
llama-3.1-8b-instant,relevant_only,neutral,compose_override,1.0,144.66666666666666,9
llama-3.1-8b-instant,relevant_only,neutral,direct,1.0,125.33333333333333,9
llama-3.1-8b-instant,relevant_only,neutral,paraphrase,1.0,148.0,6
llama-3.1-8b-instant,relevant_only,neutral,partially_specified,1.0,129.0,3
llama-3.1-8b-instant,relevant_only,neutral,staleness,0.2916666666666667,143.25,24
llama-3.1-8b-instant,relevant_only,neutral,unanswerable,1.0,147.0,3
llama-3.3-70b-versatile,full_memory,authoritative,staleness,0.625,437.0,16
llama-3.3-70b-versatile,full_memory,neutral,staleness,0.625,425.0,16
llama-3.3-70b-versatile,full_plus_confusable,authoritative,staleness,0.75,527.0,16
llama-3.3-70b-versatile,full_plus_confusable,neutral,staleness,0.75,515.0,16
llama-3.3-70b-versatile,relevant_only,authoritative,staleness,0.75,155.25,16
llama-3.3-70b-versatile,relevant_only,neutral,staleness,0.875,143.25,16
qwen/qwen3.6-27b,full_plus_confusable,authoritative,staleness,1.0,552.0,8
qwen/qwen3.6-27b,full_plus_confusable,neutral,staleness,1.0,540.0,8
qwen/qwen3.6-27b,relevant_only,authoritative,staleness,1.0,145.0,8
qwen/qwen3.6-27b,relevant_only,neutral,staleness,1.0,133.0,8
